sample	covered_sn_ps_on_1240k	total_sn_ps_on_1240k	nr_of_input_reads	nr_of_mapped_reads	nr_of_input_reads_over_30bp	percent_endogenous_dna	nr_of_mapped_reads_over_30bp	percent_endogenous_dna_over_30bp	proportion_of_duplicate_reads	damage_5_bp1	damage_5_bp2	damage_3_bp1	damage_3_bp2	mean_read_length	median_read_length	nr_mt_dna_reads	mean_mt_coverage	mt_to_nuclear_read_ratio	nr_of_unique_mapped_reads	mean_fold_coverage	median_fold_coverage	percent_of_genome_covered_by_at_least_1_read	percent_of_genome_covered_by_at_least_2_reads	percent_of_genome_covered_by_at_least_3_reads	percent_of_genome_covered_by_at_least_4_reads	percent_of_genome_covered_by_at_least_5_reads	percent_gc_of_unique_reads	read_length_std_dev	mean_fold_coverage_on_nuclear_genome	nr_nuclear_dna_reads	nr_of_reads_total	qualimap_general_error_rate	std_err_of_x_relative_coverage	std_err_of_y_relative_coverage	relative_coverage_on_x_chromosome	relative_coverage_on_y_chromosome	nr_sn_ps_used_in_contamination_estimation	nuclear_contamination_m1_ml	nuclear_contamination_m1_ml_error	nuclear_contamination_m1_mom	nuclear_contamination_m1_mom_error	nuclear_contamination_m2_ml	nuclear_contamination_m2_ml_error	nuclear_contamination_m2_mom	nuclear_contamination_m2_mom_error	source
Indrus026_ss	494579	1233013	14081734	9935379	7922457	70.555082	7922457	56.260522	0.606817	0.20531859782421	0.0108786610878661	0.0121377493413624	0.00997571131158917	N/A	N/A	4337	13.59919126078822	273.17	3114978	1.1567	1	53.549719264922594	28.66303923802912	15.4012163699815	8.27509523419461	4.454048740767535	45.04830302328275	N/A	0.04978329653898838	3110641	3114978	51.629999999999995	0.00273379921939393	0.00379065720632722	0.4331521624377856	0.549068741838186	2268	0.010221	2.585237e-14	0.010654	0.002838885	0.006129	3.42771e-15	0.006846	0.003982094	1240k
Indrus031_ss	752274	1233013	28002373	23952586	20519300	85.537701	20519300	73.277004	0.602519	0.130686704992984	0.00709333333333333	0.0135504377404784	0.0130094466936572	N/A	N/A	22582	91.48940793047257	685.63	8156026	2.3837	2	74.71819031916128	53.126933779287	36.74438144609992	25.006467896121126	16.763570213777147	43.13813784458271	N/A	0.13343869220503646	8133444	8156026	47.91	0.0019946435381336	0.00268424930005614	0.4735423351391743	0.5661098021087619	6059	0.004918	4.064072e-14	0.005516	0.001259131	0.006326	1.687738e-15	0.006279	0.002214965	1240k
Indrus036_ss	37765	1233013	28391693	11835371	7572357	41.686035	7572357	26.67103	0.807041	0.0374605996928797	0.00394286863810099	0.00821815465072843	0.00549818489408945	N/A	N/A	1303	4.352042971814835	222.45	1461156	0.0536	0	4.924603390231895	0.27298982249173365	0.03211644970490984	0.01467948837522394	0.01216532185792039	43.83201672862454	N/A	0.01956434616093341	1459853	1461156	57.29	0.01862246971408099	0.00417235326476933	0.8789004379166369	0.03007442972032957	30	0.195663	5.978734e-16	0.197336	0.09303768	0	8.297159999999999e-32	0	0	1240k
Indrus039_ss	198046	1233013	26572645	13654316	11198356	51.384858	11198356	42.142421	0.891713	0.120309282682691	0.00836981095771802	0.0128749085588881	0.0111141728667218	N/A	N/A	23358	98.55465025046774	4953.85	1212634	0.3075	0	24.54596991272598	5.0148700784176645	0.9596816902984804	0.17477512402545634	0.03162983683059302	44.331365313653144	N/A	0.01989456162648006	1189276	1212634	51.98	0.00534974959584998	0.00699904602540662	0.4417005578188256	0.4993336742869522	255	0.004219	1.520582e-16	0.002439	0.006125296	0.010159	2.488225e-16	0.008317	0.01211523	1240k
Indrus059_ss	22389	1233013	20665282	7177049	3662184	34.729983	3662184	17.721432	0.763824	0.035563011113441	0.00331800919448331	0.0116784793814433	0.00504892231623664	N/A	N/A	15930	61.53298328203271	5702.78	864919	0.0316	0	2.9914526448626253	0.10981230530416144	0.01370626262659031	0.00900233817486109	0.00640706951183807	44.22104436592069	N/A	0.01078998880973415	848989	864919	55.3	0.0167479600883455	0.02279172076925107	0.4295434399655598	0.5247552230283807	4	0	0	0	0	0	0	0	0	1240k
Indrus065_ss	43430	1233013	19199675	9288763	4662029	48.379793	4662029	24.281812	0.893028	0.148186798852074	0.0105850543634586	0.0113166977875856	0.0102128520147631	N/A	N/A	15367	61.978393385237496	9076.92	498707	0.0603	0	5.676339178905656	0.31865033053179487	0.02173537505281777	0.00348739226593718	0.00154094076866991	43.436976641692375	N/A	0.00682813056439841	483340	498707	57.54	0.01769766429679013	0.00339251769541006	0.9166588689602682	0.02300166469555397	57	0.12294	8.308148e-16	0.1195	0.05213656	0.153954	1.038519e-15	0.154548	0.08976214	1240k
Indrus071_ss	40129	1233013	19570450	5942412	3394804	30.364207	3394804	17.346581	0.824711	0.0715878227735214	0.00419191499958496	0.0077865636506307704	0.00529242569511026	N/A	N/A	18909	76.83016476552598	9868.46	595073	0.0566	0	5.305215760093365	0.3145952232458214	0.02424954157012132	0.00502833303460709	0.00259526866302301	46.58030956609999	N/A	0.00778542699537885	576164	595073	52.2	0.0119322336484728	0.01586877076482566	0.40135339964491457	0.46844060378326047	17	0	0	0	0	0	0	0	0	1240k
Indrus080_ss	597126	1233013	26692769	18484259	15086202	69.248189	15086202	56.517936	0.712821	0.164532187380334	0.0102476955558989	0.0168614986801702	0.0145222929936306	N/A	N/A	12923	50.45989498460981	689.35	4332437	1.5148	1	62.91482733758687	37.79441092672989	22.076004064839545	12.628171803541406	7.134231350358837	44.02309861224642	N/A	0.07319873312394055	4319514	4332437	53.95	0.00242652310413925	0.00332329607053492	0.44607655508015576	0.5519152932966556	3365	0.012124	1.408595e-15	0.013839	0.002647234	0.017901	4.668488e-14	0.01824	0.004560951	1240k
Indrus083_ss	761127	1233013	27066195	22732886	19133136	83.989959	19133136	70.690158	0.56952	0.155800095689618	0.0099584154081856	0.0137728257505416	0.0137182334073526	N/A	N/A	14434	51.02172732210755	373.12	8236423	2.6183	2	74.69921241706292	54.56860552159628	39.36495397858741	28.106840722685	19.8880303776197	45.041936625761615	N/A	0.13674467671683418	8221989	8236423	50.5	0.00182218412617232	0.00246317967642919	0.4347725668352326	0.5241941875682747	5906	0.00923	7.7849e-14	0.009362	0.001563687	0.009017	4.372341e-14	0.008949	0.002704593	1240k
Indrus096_ss	532487	1233013	18388805	12199356	9455200	66.341211	9455200	51.418241	0.704263	0.0777256129368805	0.00473269062226117	0.0220999853964854	0.0217110492845787	N/A	N/A	14374	55.13983945923109	946.16	2796248	1.1755	1	57.87595102403624	30.978992111194287	15.462205183562542	7.336581203928913	3.339948565019185	43.13490863847159	N/A	0.05827775756066302	2781874	2796248	45.58	0.00405630427115884	5.0888748830143e-4	0.9430708147430584	0.01015081082333422	6234	0.268322	2.988912e-12	0.257015	0.005805493	0.254363	5.916469e-13	0.25538	0.01007793	1240k
